ReportID,ArrestDate,Time,Age,Sex,RaceCat,Charge,ChargeDescription,Address,CrossStreet,geometry,Name,Descriptio
5943668,05/29/2020 12:00:00 AM,1415,30,M,Black,11366HS,MAINTAIN PLACE TO SELL CONTROLLED SUBS,9600    VENICE,NA,"c(-118.396, 34.0249)",Palms,NA
5944865,05/30/2020 12:00:00 AM,2245,43,M,Hispanic/Latinx/Mexican,594(A)(2)PC,DAMAGE PROPERTY,1900    BONSALLO                     AV,NA,"c(-118.2759, 34.035)",University Park,NA
5948096,06/03/2020 12:00:00 AM,1900,18,M,Hispanic/Latinx/Mexican,594(A)(1)PC,DEFACE PROPERTY,42ND                         PL,HOOVER,"c(-118.2872, 34.0062)",Vermont Square,NA
5946930,06/02/2020 12:00:00 AM,0420,41,M,Hispanic/Latinx/Mexican,10851(A)VC,TAKE VEHICLE W/O OWNER'S CONSENT,HOOVER                       ST,73RD                         ST,"c(-118.2871, 33.9736)",Vermont Knolls,NA
200910368,06/01/2020 12:00:00 AM,2350,19,F,Hispanic/Latinx/Mexican,878,NA,VAN NUYS,VALERIO,"c(-118.4488, 34.2048)",Van Nuys,NA
5945613,05/31/2020 12:00:00 AM,1920,27,M,Hispanic/Latinx/Mexican,A459PC,ATTEMPT - BURGLARY,700 S  BROADWAY,NA,"c(-118.2541, 34.0444)",Downtown,NA
200312000,05/27/2020 12:00:00 AM,1930,36,M,Black,12700 (B)(2,NA,VERMONT,41ST,"c(-118.2819, 34.0075)",Vermont Square,NA
200210674,05/27/2020 12:00:00 AM,0910,20,M,Hispanic/Latinx/Mexican,41.24(A)LAM,NA,WILSHIRE,ALVARADO,"c(-118.2759, 34.058)",Westlake,NA
201311569,05/28/2020 12:00:00 AM,1400,29,F,Hispanic/Latinx/Mexican,242PC,BATTERY,1300 E  43RD                         PL,NA,"c(-118.2521, 34.0048)",Central-Alameda,NA
5945580,05/31/2020 12:00:00 AM,1920,33,F,Hispanic/Latinx/Mexican,A459PC,ATTEMPT - BURGLARY,MARTIN LUTHER KI             BL,WOODLAWN                     ST,"c(-118.2705, 34.0144)",Historic South-Central,NA
5946869,06/01/2020 12:00:00 AM,2200,32,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,SELMA,SCHRADER,"c(-118.3319, 34.0998)",Hollywood,NA
201009519,05/29/2020 12:00:00 AM,1110,53,M,White,11358HS,NA,5300    VANALDEN                     AV,NA,"c(-118.5579, 34.1687)",Tarzana,NA
201311567,05/28/2020 12:00:00 AM,1400,22,F,Hispanic/Latinx/Mexican,242PC,BATTERY,1300 E  43RD                         PL,NA,"c(-118.2521, 34.0048)",Central-Alameda,NA
201109835,05/27/2020 12:00:00 AM,1530,42,F,Hispanic/Latinx/Mexican,41.27(C)LAM,DRINKING IN PUBLIC***,5100 N  FIGUEROA                     ST,NA,"c(-118.2008, 34.1056)",Highland Park,NA
5946881,06/01/2020 12:00:00 AM,2200,38,M,Black,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,SELMA,SCHRADER,"c(-118.3319, 34.0998)",Hollywood,NA
5943831,05/29/2020 12:00:00 AM,1740,39,M,Filipino,23152(G)VC,DUI OF COMBINED DRUG & ALCOHOL INFLUENCE,NORMANDIE,8TH                          ST,"c(-118.2998, 34.0577)",Koreatown,NA
5940846,05/27/2020 12:00:00 AM,1400,30,M,White,594(A)(1)PC,DEFACE PROPERTY,ORLANDO                      AV,3RD                          ST,"c(-118.3732, 34.073)",Beverly Grove,NA
5948030,06/03/2020 12:00:00 AM,2100,32,M,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,6300 W  CENTURY                      BL,NA,"c(-118.3966, 33.9455)",Westchester,NA
201510743,05/29/2020 12:00:00 AM,0930,39,M,Hispanic/Latinx/Mexican,25620A,NA,SATICOY,COLDWATER CANYON,"c(-118.4144, 34.2066)",Sun Valley,NA
